Andel män inrikes;Andel män utrikes;Andel kvinna inrikes;Andel kvinna utrikes
20,0966262;8,728837644;26,59250538;6,495879177
29,55438868;5,164844624;27,25890218;2,869358125
35,81749359;4,884203671;31,34030689;5,698237617
28,4133715;6,457584433;26,69134899;6,027078804
24,68991341;8,89304938;27,6152586;9,478118418
29,18655358;2,060227312;29,87329602;3,433712186
20,34863411;7,51065465;20,26130092;8,121987005
19,50033025;13,94378453;14,8873489;12,0566558
28,23881973;2,881512218;27,66251729;5,186721992
26,0024774;8,599244495;22,52183082;7,985012745
33,12065672;5,486243752;29,6663551;7,721380095
23,54566289;8,790380812;20,092299;5,337016921
31,72153635;5,144032922;19,71879287;4,286694102
29,8122097;6,654511093;31,54238258;8,118503534
